education,age,treatment,welfare,female,ega,income,emp_priv,emp_pub,pubtransfer,preschool
5,45,1,4,0,10,8,0,1,0,0
4,43,1,7,0,10,8,1,0,0,1
3,71,1,3,1,15,3,0,0,1,0
3,29,0,10,0,9,12,1,0,0,0
1,36,1,4,0,8,6,0,1,0,1
5,25,1,6,1,6,4,1,0,1,0
3,66,0,3,0,12,2,0,0,1,0
3,36,0,6,1,9,6,1,0,0,0
5,48,0,2,1,11,8,0,1,0,0
5,26,1,10,0,6,9,1,0,0,0
1,75,0,3,0,12,5,0,0,1,0
3,80,1,10,1,8,7,0,0,1,0
1,51,0,8,0,8,6,1,0,0,0
3,36,1,10,0,3,6,0,0,0,0
5,75,0,8,1,9,8,0,0,1,0
5,51,1,5,0,8,8,0,1,0,0
1,27,1,2,1,8,6,0,0,1,1
5,79,0,10,0,12,8,0,0,1,0
5,53,1,8,0,9,8,0,1,0,0
3,58,1,6,0,5,9,1,0,0,0
3,37,1,5,0,5,15,1,0,0,1
4,28,1,4,0,11,7,1,0,0,1
1,60,0,10,1,11,13,1,0,0,0
6,71,0,9,0,4,9,0,0,1,0
6,32,0,6,1,5,11,1,0,0,1
2,43,1,9,1,3,8,1,0,0,0
3,72,0,8,0,9,4,0,0,1,0
1,48,0,2,0,13,11,1,0,0,0
4,33,1,4,1,10,6,0,1,0,1
5,74,0,6,0,9,7,0,1,0,0
5,53,0,8,1,5,10,1,0,0,0
3,27,1,8,1,7,14,1,0,0,0
1,102,0,9,1,15,5,0,0,1,0
1,60,0,9,1,10,8,0,0,1,0
3,82,1,6,0,7,11,0,0,1,0
1,53,1,10,0,10,8,0,0,0,0
6,47,1,4,1,4,10,0,1,0,0
5,70,1,4,1,9,6,0,0,1,0
1,51,0,6,1,11,1,0,0,1,0
6,65,1,8,0,13,6,0,0,1,0
4,32,1,7,1,7,8,0,1,0,1
3,42,1,8,0,6,9,1,0,0,0
3,49,0,6,1,8,8,1,0,0,0
5,70,0,8,0,8,7,0,0,1,0
6,70,1,8,1,11,1,0,0,0,0
3,70,0,9,1,10,2,0,0,1,0
3,63,1,6,1,12,10,0,0,1,0
5,72,0,6,1,6,13,1,0,0,0
1,50,1,7,1,11,6,1,0,0,0
1,65,0,4,0,8,2,0,0,1,0
3,46,1,4,0,12,6,0,0,0,0
1,44,0,8,1,10,8,1,0,0,0
3,75,0,5,1,10,3,0,0,1,0
1,66,0,9,0,12,3,0,0,1,0
5,36,0,6,0,7,14,1,0,0,1
4,67,0,4,1,8,4,0,0,1,0
4,55,0,2,0,12,7,1,0,0,0
5,31,1,4,1,11,8,0,1,0,0
5,53,1,3,1,13,11,1,0,0,0
6,61,1,4,0,8,10,0,1,0,0
2,51,0,4,1,7,6,1,0,0,0
3,78,0,8,0,11,3,0,0,1,0
5,34,0,3,1,9,6,0,0,0,0
3,64,1,6,1,10,6,0,0,1,0
5,32,0,6,0,7,14,0,1,0,0
1,19,1,6,1,9,1,0,0,1,0
1,42,0,10,1,13,6,1,0,0,0
5,48,0,5,1,7,9,0,1,0,0
3,43,1,5,1,7,8,1,0,0,0
4,41,1,9,1,5,10,1,0,0,0
4,71,0,4,0,13,4,0,0,1,0
3,71,0,10,1,11,3,0,0,1,0
3,77,0,4,1,10,9,0,0,1,0
3,48,1,7,0,8,9,1,0,0,0
6,60,0,6,0,5,13,0,1,0,0
5,82,1,4,1,6,4,0,0,1,0
3,27,0,6,1,10,2,0,1,0,0
3,37,0,9,1,9,9,1,0,0,0
5,77,0,6,1,10,6,0,0,1,0
5,27,0,7,1,9,6,1,0,0,0
3,68,1,10,1,9,7,0,0,1,0
6,32,1,6,0,5,10,1,0,0,1
5,46,1,6,1,7,11,1,0,0,0
6,76,0,10,0,7,7,0,0,1,0
4,27,1,7,0,6,2,1,0,1,1
3,36,0,8,1,5,3,0,1,1,0
1,75,1,8,1,9,2,0,0,1,0
3,74,0,6,0,10,6,0,0,1,0
4,49,1,8,1,10,6,0,1,0,0
3,44,0,8,1,8,7,0,1,0,0
3,59,1,10,1,10,6,0,0,1,0
3,62,0,4,1,12,4,0,0,1,0
4,58,0,8,0,11,8,0,1,0,0
3,57,1,7,1,10,8,1,0,0,0
1,65,0,7,0,15,5,0,0,1,0
5,73,0,8,0,8,10,0,0,1,0
1,32,0,6,1,10,3,0,0,1,1
5,74,0,8,0,8,9,0,0,1,0
1,68,0,8,1,8,7,0,0,1,0
5,65,1,4,1,6,1,0,0,1,0
3,46,0,7,1,9,11,1,0,0,0
4,39,0,8,0,4,7,0,0,0,1
3,72,1,7,0,11,5,0,0,1,0
1,40,0,7,0,9,9,1,0,0,0
1,50,1,7,0,5,5,0,0,1,0
6,58,0,3,1,15,9,0,1,0,0
6,57,0,9,0,5,14,1,0,0,0
1,52,0,6,1,7,8,0,1,0,0
5,73,0,8,0,10,8,0,0,1,0
1,60,0,6,1,10,4,0,0,1,0
6,58,0,6,0,13,12,0,1,0,0
2,19,1,5,0,10,2,1,0,1,0
4,35,0,9,1,6,10,1,0,0,1
5,57,0,3,0,8,10,0,0,1,0
3,47,0,4,0,4,9,0,0,0,0
3,45,0,5,0,8,8,0,1,0,0
1,51,0,2,1,12,9,1,0,0,0
5,61,0,4,1,9,6,0,0,1,0
4,41,0,2,1,3,12,1,0,0,0
1,51,1,6,0,10,10,1,0,0,0
3,65,0,8,0,6,7,0,0,1,0
1,63,0,8,1,10,6,1,0,0,0
5,74,0,9,0,12,4,0,0,1,0
5,48,0,6,0,6,11,0,1,0,0
4,64,1,10,0,5,4,0,0,1,0
6,71,0,3,0,12,9,0,0,0,0
5,27,0,8,1,11,8,0,1,0,0
4,61,1,6,1,8,6,0,0,1,0
